Date,Number_of_tweet,exchange,open,high,low,close,volume,trade_count,vwap,symbol,nasdaq,spx,Ethereum Market Cap,Next_day_price
2017-01-06,4,CBSE,10.14,10.21,9.55,9.72,26408.70862,3723,9.815537419,ETHUSD,5521.06,2276.98,890067630.6,10.18
2017-01-09,7,CBSE,10.41,10.52,10.36,10.49,9984.134371,1784,10.45975749,ETHUSD,5531.82,2268.9,902556769.3,10.47
2017-01-10,6,CBSE,10.63,10.8,10.56,10.77,17498.5482,5862,10.70479079,ETHUSD,5551.82,2268.9,923748369.4,10.49
2017-01-11,9,CBSE,10.78,10.84,9.47,9.95,125891.5521,32644,9.97942481,ETHUSD,5563.65,2275.32,848391822.2,10.77
2017-01-12,7,CBSE,9.54,10.17,9.12,9.8,64242.26216,12405,9.623772251,ETHUSD,5547.49,2270.44,849172696,9.95
2017-01-13,13,CBSE,9.84,9.92,9.75,9.75,12549.27308,1186,9.830689233,ETHUSD,5574.12,2274.64,848042631.1,9.8
2017-01-17,9,CBSE,9.84,10.53,9.82,10.34,60554.00481,6956,10.25100356,ETHUSD,5538.73,2267.89,902735897.6,9.84
2017-01-18,8,CBSE,10.33,10.46,9.99,10.23,47401.85393,2703,10.20595417,ETHUSD,5555.65,2271.89,891354114.9,10.34
2017-01-19,8,CBSE,10.46,10.67,10.42,10.55,12330.61848,1439,10.52822445,ETHUSD,5540.08,2263.69,914555495.3,10.23
2017-01-20,8,CBSE,10.65,10.82,10.61,10.7,18224.39352,1276,10.71098779,ETHUSD,5555.33,2271.31,929384722.9,10.55
2017-01-23,4,CBSE,10.79,10.79,10.6,10.73,9661.036885,470,10.68816746,ETHUSD,5552.94,2265.2,948113651.5,10.77
2017-01-24,6,CBSE,10.57,10.66,10.53,10.61,10713.66381,1327,10.61164272,ETHUSD,5600.96,2280.07,917408215.4,10.73
2017-01-25,13,CBSE,10.61,10.62,10.43,10.55,30145.52969,3979,10.51723224,ETHUSD,5656.34,2298.37,924140034,10.61
2017-01-26,9,CBSE,10.54,10.67,10.5,10.6,34365.97186,3619,10.58546203,ETHUSD,5655.18,2296.68,931851533.5,10.55
2017-01-27,11,CBSE,10.55,10.57,10.47,10.56,10766.29813,1099,10.51654757,ETHUSD,5660.78,2294.69,928178829.6,10.6
2017-01-30,12,CBSE,10.59,10.64,10.58,10.6,9509.291579,694,10.61231423,ETHUSD,5613.71,2280.9,934513900.7,10.47
2017-01-31,8,CBSE,10.7,10.86,10.69,10.78,14394.72723,2188,10.77179806,ETHUSD,5614.79,2278.87,944300621.6,10.6
2017-02-01,10,CBSE,10.73,10.75,10.63,10.64,11178.86508,1731,10.68566602,ETHUSD,5642.65,2279.55,946733901.5,10.78
2017-02-02,13,CBSE,10.82,10.84,10.69,10.75,13410.6146,1262,10.78463206,ETHUSD,5636.2,2280.85,956759156.5,10.64
2017-02-03,14,CBSE,10.99,11.35,10.98,11.18,29480.84679,4258,11.18242607,ETHUSD,5666.77,2297.42,968360894.2,10.75
2017-02-06,5,CBSE,11.33,11.46,11.29,11.46,12427.96976,2195,11.35742552,ETHUSD,5663.55,2292.56,1000976622,11.27
2017-02-07,12,CBSE,11.51,11.65,11.48,11.58,19038.24779,2263,11.55282059,ETHUSD,5674.22,2293.08,1013517743,11.46
